player,matches_as_top_scorer,cumulative_top_score_runs,best_score,player_of_match_awards,best_bowling_awards,wickets_in_best_spells,runs_conceded_in_best_spells
Abhishek Sharma,2,122,75,1,0,0,0
Aiden Markram,1,57,57,0,0,0,0
Andre Russell,2,119,70,1,2,7,27
Anuj Rawat,0,0,0,1,0,0,0
Avesh Khan,0,0,0,2,3,10,73
Axar Patel,0,0,0,0,1,2,10
Chetan Sakariya,0,0,0,0,1,2,23
Daniel Sams,0,0,0,1,2,7,46
David Miller,1,94,94,2,0,0,0
David Warner,3,213,92,1,0,0,0
Deepak Hooda,2,114,59,0,0,0,0
Devon Conway,2,143,87,1,0,0,0
Dinesh Karthik,1,66,66,2,0,0,0
Dwayne Bravo,0,0,0,0,2,6,43
Evin Lewis,0,0,0,1,0,0,0
Faf du Plessis,3,257,96,1,0,0,0
Hardik Pandya,2,154,87,2,2,4,31
Harpreet Brar,0,0,0,1,1,3,26
Harshal Patel,0,0,0,1,2,6,57
Ishan Kishan,3,180,81,0,0,0,0
Jasprit Bumrah,0,0,0,2,3,11,52
Jonny Bairstow,0,0,0,1,0,0,0
Jos Buttler,7,651,116,3,0,0,0
Josh Hazlewood,0,0,0,0,3,10,96
K L Rahul,0,0,0,2,0,0,0
KL Rahul,4,351,103,0,0,0,0
Kagiso Rabada,0,0,0,1,3,10,94
Kane Williamson,1,57,57,1,0,0,0
Khaleel Ahmed,0,0,0,0,1,3,30
Krunal Pandya,0,0,0,1,1,3,19
Kuldeep Sen,0,0,0,0,1,4,20
Kuldeep Yadav,0,0,0,4,3,11,67
Liam Livingstone,4,239,70,1,0,0,0
Lockie Ferguson,0,0,0,1,2,7,51
MS Dhoni,2,86,50,0,0,0,0
Maheesh Theekshana,0,0,0,0,2,7,60
Marco Jansen,0,0,0,1,0,0,0
Mayank Agarwal,0,0,0,1,0,0,0
Mitchell Marsh,2,152,89,1,0,0,0
Moeen Ali,1,93,93,0,1,3,13
Mohammed Shami,0,0,0,1,2,5,44
Mohammed Siraj,0,0,0,0,1,2,59
Mohsin Khan,0,0,0,1,2,7,36
Mukesh Choudhary,0,0,0,1,1,4,46
Murugan Ashwin,0,0,0,0,1,2,25
Nitish Rana,1,57,57,0,0,0,0
Odean Smith,0,0,0,1,1,4,30
Pat Cummins,1,56,56,1,0,0,0
Pradeep Sangwan,0,0,0,0,1,2,19
Prashant Solanki,0,0,0,0,1,2,20
Prasidh Krishna,0,0,0,0,2,6,44
Quinton de Kock,5,377,140,2,0,0,0
R Aswin,0,0,0,1,0,0,0
Rahul Chahar,0,0,0,0,1,3,25
Rahul Tewatia,0,0,0,1,0,0,0
Rahul Tripathi,2,147,76,2,0,0,0
Rajat Patidar,1,112,112,1,0,0,0
Ramandeep Singh,0,0,0,0,1,3,20
Rashid Khan,0,0,0,1,4,11,102
Ravi Bishnoi,0,0,0,0,2,4,46
Rilley Meredith,0,0,0,0,1,2,24
Rinku Singh,0,0,0,1,0,0,0
Riyan Parag,1,56,56,1,0,0,0
Ruturaj Gaikwad,1,99,99,1,0,0,0
Sai Sudharsan,1,65,65,0,0,0,0
Sanju Samson,1,54,54,1,0,0,0
Shardul Takur,0,0,0,0,1,4,36
Shardul Thakur,0,0,0,1,0,0,0
Sherfane Rutherford,1,28,28,0,0,0,0
Shikhar Dhawan,2,158,88,1,0,0,0
Shimron Hetmyer,1,59,59,0,0,0,0
Shivam Dube,1,95,95,1,0,0,0
Shubman Gill,4,288,96,2,0,0,0
Suruakumar Yadav,0,0,0,1,0,0,0
Suryakumar Yadav,1,68,68,0,0,0,0
T Natarajan,0,0,0,0,3,8,81
Tilak Varma,1,51,51,0,0,0,0
Tim David,0,0,0,1,0,0,0
Tim Southee,0,0,0,0,1,2,46
Trent Boult,0,0,0,1,1,2,18
Umesh Yadav,0,0,0,2,1,4,23
Umran Malik,0,0,0,2,2,9,53
Virat Kohli,2,131,73,1,0,0,0
W. Saha,3,190,68,1,0,0,0
Wanindu Hasaranga,0,0,0,2,2,9,38
Washington Sundar,0,0,0,0,1,2,21
Yashasvi Jaiswal,1,68,68,1,0,0,0
Yuzvendra Chahal,0,0,0,2,5,17,146
